COPY nagrody_w_turniejach FROM STDIN DELIMITER ';' NULL 'null';
0;0;1
2;0;2
2;0;3
1;1;1
2;1;2
1;1;3
1;2;1
0;2;2
2;2;3
0;3;1
0;3;2
1;3;3
1;4;1
2;4;2
1;4;3
0;5;1
0;5;2
0;5;3
2;6;1
1;6;2
1;6;3
2;7;1
0;7;2
2;7;3
1;8;1
2;8;2
2;8;3
0;9;1
2;9;2
2;9;3
2;10;1
1;10;2
2;10;3
1;11;1
1;11;2
2;11;3
1;12;1
1;12;2
0;12;3
2;13;1
0;13;2
2;13;3
2;14;1
1;14;2
0;14;3
1;15;1
1;15;2
1;15;3
0;16;1
2;16;2
0;16;3
2;17;1
0;17;2
1;17;3
2;18;1
2;18;2
1;18;3
2;19;1
1;19;2
2;19;3
2;20;1
1;20;2
1;20;3
2;21;1
0;21;2
0;21;3
0;22;1
0;22;2
2;22;3
\.
