COPY pytania FROM STDIN DELIMITER ';' NULL 'null';
12;eligendi molestiae quas quidem labore debitis maxime tempora distinctio expedita sint eos placeat deleniti ipsam dolor error rem dolorum cupiditate sapiente voluptatum corporis perferendis quisquam non repudiandae laudantium magnam dolore nulla consequuntur accusamus consequatur;placeat;6
13;fugiat aut maxime vel non ad fugit repellendus saepe beatae impedit at laboriosam asperiores blanditiis repudiandae veritatis sint exercitationem dolore cum dignissimos voluptatum tenetur accusamus delectus ut voluptatem voluptates expedita fuga architecto quod cupiditate porro nesciunt neque aperiam magni corporis possimus ex officiis doloremque facilis earum suscipit quaerat voluptate deserunt;hic;8
14;inventore dolorum doloribus labore ea architecto at ratione sapiente facilis sint nesciunt nobis quo quisquam reiciendis recusandae delectus officiis soluta perspiciatis modi nam consequatur accusantium voluptate unde ut adipisci aperiam ducimus;rerum;3
15;cupiditate laborum repudiandae est aliquid rem tempore nihil iusto voluptatem nemo quia sint aspernatur amet recusandae ratione veritatis maiores officia ut incidunt vel sit dicta distinctio exercitationem quis ipsa mollitia rerum magnam expedita omnis fugit delectus quaerat natus neque;nisi;2
16;suscipit nostrum minima sunt necessitatibus libero ducimus ratione accusamus natus molestiae dolor quod assumenda voluptatum ab quisquam unde vel deserunt voluptatem dolorum autem nulla numquam consectetur hic deleniti quidem aliquam asperiores fugit ipsam enim aliquid at harum tenetur nemo;dolorum;10
17;omnis autem exercitationem nihil odio nesciunt pariatur deleniti vel quae beatae doloremque rem eveniet aliquid recusandae illo accusantium earum tempore nobis tempora accusamus quidem repellendus ad fugit sit corporis velit totam saepe aperiam laudantium error doloribus quaerat vitae in dolorum eum odit soluta quisquam;porro;1
18;exercitationem odit accusantium adipisci saepe veritatis rerum eligendi quos fuga omnis temporibus quae repudiandae iste veniam dignissimos optio commodi fugit tenetur vel ab dicta ut voluptate doloribus consequuntur repellendus unde autem corrupti quidem expedita aliquid porro;rerum;0
19;dicta officiis facere tempore tenetur ut totam adipisci recusandae assumenda tempora nobis quas sequi aut similique laboriosam odio ex itaque et voluptates ratione ipsum nam hic dignissimos culpa obcaecati mollitia eligendi commodi officia incidunt voluptatum repellendus dolor inventore molestiae exercitationem molestias nesciunt architecto ea laborum;consequuntur;4
20;odit ad cum ex error voluptatem repellat maiores tempore at autem dolor nulla ut quae repudiandae commodi veritatis ipsum debitis eum accusamus incidunt veniam blanditiis a vitae porro natus assumenda molestias nobis iste magni dolorum id reprehenderit atque impedit aperiam tenetur accusantium quis velit asperiores praesentium unde alias quos officiis;nobis;8
21;nulla iste natus cum porro libero nostrum facilis repellendus et unde officiis ullam molestiae expedita consequatur voluptatem laborum assumenda possimus aliquam repudiandae est voluptas inventore eum itaque explicabo minima perferendis pariatur obcaecati saepe reprehenderit odit consequuntur;incidunt;6
22;porro veritatis quas at impedit distinctio nobis alias doloremque a vel corrupti blanditiis deserunt voluptate officia et tempora in necessitatibus harum tempore ab accusamus sint tenetur quis vero voluptatibus possimus eos unde repudiandae debitis officiis quaerat iste;velit;4
23;inventore quae ipsam consequatur reiciendis quo possimus vel magni recusandae itaque ducimus et ex repellendus asperiores ipsum nulla neque labore error nostrum veritatis nam cumque repudiandae consequuntur blanditiis nemo vitae;optio;7
24;quisquam obcaecati deserunt cum animi dolor vel vitae quos a fuga sint laudantium minima assumenda nostrum incidunt voluptatum non eius similique vero quae eum fugit sed eos quasi ullam unde reprehenderit praesentium tenetur officia suscipit aliquam asperiores deleniti maxime accusantium doloribus amet neque autem sunt;error;3
25;et deserunt eveniet cumque fuga odit dicta quam fugit architecto amet veniam quasi saepe magni minus tempora omnis aperiam quibusdam labore non molestias quod distinctio officia voluptatum suscipit provident in repudiandae tempore fugiat eius possimus enim numquam perferendis tenetur sed aspernatur quo temporibus qui nihil;vel;4
26;amet aliquam rem quod cumque mollitia deserunt vero velit voluptas tenetur laudantium fuga odit voluptates enim dignissimos nisi unde totam atque est id ipsa nihil omnis sunt eos sed in dolor ipsam quibusdam;nisi;3
27;fugiat accusantium ipsum nam deleniti qui corrupti voluptate soluta nesciunt omnis natus itaque rerum id beatae neque incidunt totam quas harum explicabo voluptates assumenda nulla molestias blanditiis vitae velit repellat eligendi quia reprehenderit dolores similique dignissimos a ad cum quasi maxime consequatur eos nostrum fuga perspiciatis ex quae mollitia;dignissimos;0
28;sit quam dolor voluptatum corrupti ipsam facilis hic sint voluptates voluptatibus optio quidem sapiente quia accusamus temporibus vero ipsum voluptatem illo unde aspernatur quisquam officia eveniet maxime eos tempora eaque consectetur pariatur perferendis enim ullam quo blanditiis alias quae quas esse fugiat eius nesciunt error mollitia excepturi doloremque modi;eos;0
29;fugiat similique vero illo suscipit veritatis est magnam commodi nostrum eos saepe repellendus incidunt omnis aliquam sunt temporibus nisi deserunt quo vitae sequi quasi odio ipsam labore quos itaque impedit quae fuga iure harum cum porro;praesentium;2
30;consequuntur saepe quod consectetur id aperiam enim inventore hic fugiat aliquam molestiae maiores obcaecati totam aliquid in ipsum velit perspiciatis facere vitae possimus sed omnis cumque cum quasi debitis eius adipisci laboriosam sunt nihil reiciendis dolor sint corrupti voluptas iure dolorem facilis vel unde praesentium quibusdam delectus sapiente;asperiores;5
31;mollitia voluptatibus omnis earum accusamus illum similique consequuntur corrupti sapiente voluptatem facere dolor totam ipsum odit ad quas vero pariatur veniam a nemo perferendis tempore minus consectetur dignissimos facilis nisi ab esse modi nostrum tenetur excepturi placeat molestias temporibus;blanditiis;3
32;nisi repudiandae ut dolore provident modi iure debitis optio reprehenderit non doloribus molestias distinctio ipsum voluptatem ea dolorum iste dolores delectus minus similique facilis quam hic impedit possimus sed porro enim veniam fugiat sint eaque cum nostrum a velit repellendus vitae;aliquid;2
33;ullam magni eaque nobis iusto quae mollitia incidunt a molestias dicta consequatur ab quis perferendis voluptatibus modi dolorum adipisci vitae itaque ex reprehenderit laborum voluptates molestiae ut pariatur ad veritatis quisquam dolorem cumque voluptas accusamus odio ea fuga maxime amet tenetur;maxime;4
34;atque adipisci iste maxime unde sunt quibusdam quos molestias asperiores perspiciatis aspernatur quisquam sequi minima corrupti neque vitae at fuga ullam laboriosam hic ipsam cupiditate ipsum est reiciendis odit quam veritatis quae ad magnam;officiis;0
35;mollitia enim id et a porro excepturi ut obcaecati provident error architecto veniam cumque fuga magni rerum saepe libero temporibus ullam nihil delectus corporis doloremque quas repellat unde ad laudantium natus asperiores assumenda quo impedit qui omnis in maiores quae;illum;4
36;neque magni illum dicta dolor autem esse laborum libero ea nisi aliquid sunt nemo eum perspiciatis mollitia beatae animi dolorum saepe enim totam itaque eius ullam fuga iusto iure minus nam quae ad possimus;ea;0
37;maiores minima quis quam earum delectus nobis accusamus repudiandae quidem sed quae veniam iusto voluptatibus molestiae modi consectetur accusantium placeat tenetur voluptate doloribus totam fugiat ullam nemo possimus exercitationem hic incidunt excepturi fuga eaque nostrum ipsa quaerat perferendis eius cupiditate reiciendis ea eveniet magni ex inventore quibusdam;sit;1
38;quos eius cumque atque nostrum facere sit animi velit ut molestias amet doloribus vel nihil asperiores obcaecati laudantium nobis expedita similique quidem laborum voluptatibus voluptatem itaque officiis veritatis magni suscipit quo deserunt beatae ipsam temporibus et doloremque libero culpa quis tenetur nisi deleniti numquam tempore sapiente perferendis;nemo;5
39;sunt vero placeat dolorum aperiam modi tempore officia culpa veniam cum dolores distinctio similique ratione sequi ab ex natus assumenda quod amet ea tenetur eveniet quam recusandae perferendis obcaecati expedita possimus autem incidunt quos rerum;quam;5
40;vero adipisci incidunt fugiat rem consequuntur ullam quae distinctio tempore at blanditiis reiciendis eius cupiditate unde accusantium ipsum non recusandae fuga saepe consequatur velit excepturi sint eveniet dolore repudiandae nulla ea asperiores accusamus aliquid;dignissimos;9
41;cumque dignissimos nemo illum consequatur dolore facilis sapiente hic ipsa eos molestias est vitae laboriosam ab ad atque perferendis debitis magnam sed amet minima pariatur qui quod dolor animi modi;doloribus;3
42;temporibus neque in aspernatur nobis velit maiores magnam perspiciatis optio totam est aliquid voluptatum blanditiis deserunt similique veniam tenetur earum eum possimus natus eius minima ea facere excepturi non aperiam tempora exercitationem voluptatibus illum eaque quam corrupti quod officiis praesentium odit dolorem;asperiores;4
43;magni exercitationem dolorum distinctio libero voluptas necessitatibus laudantium enim doloribus modi quibusdam deleniti eum nostrum dolore doloremque facere neque ipsa dolorem itaque officia rerum vel nihil numquam cum dicta possimus est incidunt ducimus dolores optio nobis dolor labore eaque non earum consequatur a vitae voluptatibus omnis;reprehenderit;10
44;eligendi labore ipsam nemo nulla nihil quibusdam vero laboriosam repellendus nesciunt itaque quia voluptatibus maiores corrupti illum praesentium quae beatae accusamus sit voluptas consequuntur a magni amet rerum dicta iste quam ipsum officiis laudantium vel odit consequatur aperiam porro ab deleniti atque suscipit cumque reprehenderit dolorem unde;voluptate;8
45;labore aliquam quaerat quis porro corporis ipsam sequi quidem esse aperiam delectus debitis quisquam beatae qui vero repudiandae adipisci iste quasi non saepe deleniti maxime incidunt quia quibusdam atque placeat dolorem a blanditiis quam dicta voluptatum ex sunt;laborum;5
46;harum dolore illo qui officia voluptatibus placeat culpa quibusdam unde repudiandae tempore molestias similique ipsum exercitationem porro corrupti fuga mollitia voluptatem laboriosam in dolor sequi nihil excepturi cumque officiis asperiores incidunt ab omnis minima fugit dicta ipsa hic eaque vel nisi suscipit nulla repellendus quod dolorem;ex;0
47;enim quaerat incidunt optio numquam ut ea tempore libero iste delectus atque nihil illo rerum officiis dicta aliquam voluptates culpa laboriosam et facere tenetur nulla quod repellat magni maxime impedit;alias;3
48;id sapiente tenetur corporis quas neque sunt nulla minus libero at nam debitis ullam praesentium beatae atque autem optio ipsam inventore vitae in reprehenderit eveniet tempore alias accusantium totam error repellat obcaecati iusto illum rerum quo exercitationem perferendis velit aut;maiores;8
