COPY pytania_na_turniejach FROM STDIN DELIMITER ';' NULL 'null';
0;481;1
0;142;2
0;152;3
0;234;4
0;343;5
0;419;6
0;600;7
0;109;8
0;55;9
0;87;10
0;85;11
0;474;12
0;358;13
0;189;14
0;425;15
0;303;16
0;559;17
0;430;18
0;62;19
0;295;20
0;413;21
0;597;22
0;53;23
0;673;24
0;294;25
0;138;26
0;137;27
0;590;28
0;7;29
0;510;30
0;184;31
0;519;32
0;441;33
0;120;34
0;685;35
0;14;36
1;638;1
1;139;2
1;244;3
1;682;4
1;22;5
1;317;6
1;631;7
1;325;8
1;78;9
1;429;10
1;493;11
1;335;12
1;217;13
1;168;14
1;580;15
1;188;16
1;91;17
1;324;18
1;16;19
1;664;20
1;573;21
1;265;22
1;532;23
1;544;24
1;65;25
1;609;26
1;48;27
1;525;28
1;471;29
1;121;30
1;127;31
1;157;32
1;271;33
1;190;34
1;676;35
1;110;36
2;498;1
2;409;2
2;420;3
2;536;4
2;611;5
2;165;6
2;280;7
2;108;8
2;488;9
2;203;10
2;226;11
2;618;12
2;581;13
2;193;14
2;221;15
2;248;16
2;95;17
2;558;18
2;41;19
2;281;20
2;304;21
2;227;22
2;158;23
2;492;24
2;502;25
2;697;26
2;456;27
2;427;28
2;582;29
2;574;30
2;653;31
2;648;32
2;101;33
2;253;34
2;51;35
2;76;36
3;411;1
3;624;2
3;246;3
3;614;4
3;670;5
3;375;6
3;135;7
3;585;8
3;431;9
3;694;10
3;560;11
3;604;12
3;500;13
3;316;14
3;690;15
3;131;16
3;397;17
3;451;18
3;499;19
3;163;20
3;293;21
3;37;22
3;321;23
3;34;24
3;136;25
3;423;26
3;45;27
3;478;28
3;40;29
3;42;30
3;327;31
3;523;32
3;366;33
3;470;34
3;18;35
3;520;36
4;629;1
4;26;2
4;241;3
4;262;4
4;192;5
4;8;6
4;507;7
4;33;8
4;66;9
4;511;10
4;251;11
4;662;12
4;274;13
4;337;14
4;129;15
4;531;16
4;29;17
4;220;18
4;179;19
4;56;20
4;388;21
4;640;22
4;548;23
4;336;24
4;115;25
4;490;26
4;589;27
4;643;28
4;153;29
4;19;30
4;672;31
4;371;32
4;223;33
4;504;34
4;674;35
4;61;36
5;46;1
5;360;2
5;407;3
5;501;4
5;222;5
5;452;6
5;314;7
5;563;8
5;132;9
5;245;10
5;141;11
5;205;12
5;446;13
5;342;14
5;283;15
5;254;16
5;391;17
5;79;18
5;159;19
5;686;20
5;308;21
5;402;22
5;232;23
5;298;24
5;39;25
5;550;26
5;320;27
5;422;28
5;533;29
5;162;30
5;389;31
5;341;32
5;197;33
5;592;34
5;699;35
5;11;36
6;472;1
6;238;2
6;475;3
6;379;4
6;144;5
6;201;6
6;266;7
6;650;8
6;495;9
6;426;10
6;218;11
6;591;12
6;178;13
6;599;14
6;626;15
6;535;16
6;350;17
6;514;18
6;412;19
6;665;20
6;180;21
6;432;22
6;617;23
6;473;24
6;105;25
6;556;26
6;249;27
6;64;28
6;579;29
6;542;30
6;595;31
6;684;32
6;164;33
6;537;34
6;260;35
6;359;36
7;434;1
7;368;2
7;641;3
7;587;4
7;483;5
7;97;6
7;15;7
7;156;8
7;438;9
7;663;10
7;588;11
7;88;12
7;623;13
7;328;14
7;333;15
7;52;16
7;637;17
7;311;18
7;635;19
7;124;20
7;465;21
7;330;22
7;9;23
7;515;24
7;36;25
7;290;26
7;166;27
7;444;28
7;659;29
7;228;30
7;656;31
7;571;32
7;453;33
7;171;34
7;398;35
7;4;36
8;551;1
8;112;2
8;395;3
8;273;4
8;669;5
8;70;6
8;545;7
8;309;8
8;387;9
8;370;10
8;170;11
8;237;12
8;696;13
8;377;14
8;204;15
8;603;16
8;155;17
8;418;18
8;229;19
8;508;20
8;27;21
8;416;22
8;3;23
8;448;24
8;211;25
8;530;26
8;94;27
8;404;28
8;361;29
8;566;30
8;479;31
8;564;32
8;380;33
8;385;34
8;460;35
8;148;36
9;651;1
9;616;2
9;54;3
9;369;4
9;181;5
9;2;6
9;421;7
9;681;8
9;149;9
9;147;10
9;554;11
9;81;12
9;687;13
9;264;14
9;632;15
9;196;16
9;392;17
9;276;18
9;639;19
9;524;20
9;449;21
9;318;22
9;247;23
9;230;24
9;344;25
9;567;26
9;691;27
9;693;28
9;236;29
9;313;30
9;505;31
9;405;32
9;214;33
9;572;34
9;255;35
9;615;36
10;80;1
10;32;2
10;20;3
10;174;4
10;206;5
10;382;6
10;75;7
10;381;8
10;401;9
10;608;10
10;466;11
10;60;12
10;119;13
10;286;14
10;378;15
10;457;16
10;652;17
10;647;18
10;680;19
10;540;20
10;649;21
10;675;22
10;288;23
10;424;24
11;177;1
11;122;2
11;239;3
11;250;4
11;509;5
11;517;6
11;299;7
11;216;8
11;607;9
11;578;10
11;528;11
11;150;12
11;613;13
11;103;14
11;13;15
11;279;16
11;461;17
11;93;18
11;43;19
11;671;20
11;383;21
11;459;22
11;355;23
11;172;24
12;487;1
12;69;2
12;622;3
12;263;4
12;338;5
12;99;6
12;506;7
12;367;8
12;187;9
12;173;10
12;644;11
12;658;12
12;621;13
12;160;14
12;692;15
12;100;16
12;25;17
12;83;18
12;154;19
12;140;20
12;59;21
12;468;22
12;417;23
12;96;24
13;340;1
13;679;2
13;539;3
13;277;4
13;282;5
13;292;6
13;353;7
13;654;8
13;562;9
13;133;10
13;58;11
13;667;12
13;301;13
13;326;14
13;598;15
13;484;16
13;208;17
13;428;18
13;57;19
13;339;20
13;213;21
13;73;22
13;541;23
13;10;24
14;185;1
14;35;2
14;348;3
14;116;4
14;186;5
14;182;6
14;552;7
14;374;8
14;372;9
14;496;10
14;278;11
14;49;12
14;557;13
14;74;14
14;225;15
14;352;16
14;191;17
14;410;18
14;698;19
14;610;20
14;442;21
14;683;22
14;331;23
14;134;24
15;645;1
15;143;2
15;145;3
15;256;4
15;111;5
15;68;6
15;606;7
15;219;8
15;125;9
15;497;10
15;494;11
15;634;12
15;269;13
15;102;14
15;329;15
15;21;16
15;289;17
15;240;18
15;390;19
15;655;20
15;439;21
15;161;22
15;436;23
15;547;24
16;561;1
16;231;2
16;268;3
16;146;4
16;414;5
16;175;6
16;396;7
16;406;8
16;28;9
16;586;10
16;642;11
16;555;12
16;114;13
16;84;14
16;12;15
16;126;16
16;601;17
16;443;18
16;354;19
16;695;20
16;534;21
16;113;22
16;357;23
16;489;24
17;462;1
17;194;2
17;89;3
17;512;4
17;386;5
17;570;6
17;345;7
17;322;8
17;82;9
17;297;10
17;235;11
17;403;12
17;323;13
17;630;14
17;332;15
17;300;16
17;257;17
17;612;18
17;376;19
17;625;20
17;128;21
17;575;22
17;373;23
17;464;24
18;689;1
18;90;2
18;437;3
18;364;4
18;440;5
18;169;6
18;628;7
18;198;8
18;17;9
18;538;10
18;71;11
18;123;12
18;394;13
18;400;14
18;210;15
18;657;16
18;546;17
18;596;18
18;272;19
18;455;20
18;491;21
18;307;22
18;605;23
18;393;24
19;435;1
19;23;2
19;700;3
19;365;4
19;476;5
19;576;6
19;553;7
19;549;8
19;633;9
19;252;10
19;568;11
19;315;12
19;521;13
19;668;14
19;486;15
19;47;16
19;661;17
19;183;18
19;349;19
19;636;20
19;151;21
19;243;22
19;485;23
19;602;24
\.
