COPY sklady_w_zespolach FROM STDIN DELIMITER ';' NULL 'null';
612;11;0;0
903;11;0;1
1106;11;0;1
877;11;0;1
895;11;0;1
1125;11;0;1
545;11;0;2
1034;11;0;3
1087;11;0;3
1140;30;0;0
967;30;0;1
142;30;0;1
1070;30;0;1
560;30;0;1
742;30;0;1
514;30;0;3
673;30;0;3
232;32;0;0
810;32;0;1
515;32;0;1
128;32;0;1
1000;32;0;1
890;32;0;1
131;32;0;3
153;32;0;3
217;26;0;0
185;26;0;1
368;26;0;1
899;26;0;1
798;26;0;1
937;26;0;1
840;26;0;3
866;20;0;0
110;20;0;1
544;20;0;1
785;20;0;1
494;20;0;1
578;20;0;1
491;20;0;3
922;20;0;3
1069;41;0;0
758;41;0;1
144;41;0;1
380;41;0;1
121;41;0;1
520;41;0;1
255;41;0;2
36;41;0;3
1152;29;0;0
789;29;0;1
1072;29;0;1
757;29;0;1
722;29;0;1
119;29;0;1
190;29;0;3
330;16;0;0
748;16;0;1
461;16;0;1
463;16;0;1
669;16;0;1
436;16;0;1
310;16;0;2
40;16;0;3
198;16;0;3
557;6;0;0
450;6;0;1
550;6;0;1
59;6;0;1
113;6;0;1
303;6;0;1
616;15;0;0
435;15;0;1
496;15;0;1
1033;15;0;1
210;15;0;1
759;15;0;1
688;38;0;0
47;38;0;1
424;38;0;1
675;38;0;1
324;38;0;1
740;38;0;1
101;38;0;3
98;40;0;0
650;40;0;1
744;40;0;1
873;40;0;1
228;40;0;1
761;40;0;1
615;40;0;3
964;40;0;3
1100;25;0;0
570;25;0;1
87;25;0;1
1037;25;0;1
313;25;0;1
575;25;0;1
975;25;0;2
1042;7;0;0
452;7;0;1
799;7;0;1
194;7;0;1
867;7;0;1
169;7;0;1
875;7;0;2
172;4;1;0
675;4;1;1
819;4;1;1
232;4;1;1
563;4;1;1
757;4;1;1
1004;7;1;0
535;7;1;1
427;7;1;1
1000;7;1;1
330;7;1;1
520;7;1;1
580;7;1;3
489;7;1;3
517;16;1;0
756;16;1;1
440;16;1;1
518;16;1;1
324;16;1;1
959;16;1;1
131;20;1;0
933;20;1;1
970;20;1;1
884;20;1;1
68;20;1;1
98;20;1;1
726;20;1;2
452;20;1;3
964;40;1;0
722;40;1;1
1106;40;1;1
1087;40;1;1
422;40;1;1
874;40;1;1
817;40;1;3
238;32;1;0
896;32;1;1
1071;32;1;1
314;32;1;1
802;32;1;1
1069;32;1;1
1037;32;1;3
446;32;1;3
116;38;1;0
1156;38;1;1
526;38;1;1
280;38;1;1
486;38;1;1
405;38;1;1
1142;38;1;3
794;11;1;0
1070;11;1;1
126;11;1;1
877;11;1;1
538;11;1;1
636;11;1;1
161;11;1;2
282;11;1;3
1042;11;1;3
916;15;1;0
145;15;1;1
886;15;1;1
119;15;1;1
421;15;1;1
560;15;1;1
813;15;1;3
894;26;1;0
789;26;1;1
170;26;1;1
320;26;1;1
994;26;1;1
799;26;1;1
318;26;1;2
969;26;1;3
769;6;1;0
368;6;1;1
554;6;1;1
798;6;1;1
137;6;1;1
380;6;1;1
544;6;1;2
1050;30;1;0
53;30;1;1
588;30;1;1
753;30;1;1
829;30;1;1
377;30;1;1
471;30;1;2
764;29;1;0
771;29;1;1
60;29;1;1
217;29;1;1
1152;29;1;1
1079;29;1;1
972;29;1;2
28;29;1;3
121;41;1;0
622;41;1;1
1006;41;1;1
867;41;1;1
258;41;1;1
558;41;1;1
1090;41;1;3
707;25;1;0
1110;25;1;1
1102;25;1;1
310;25;1;1
997;25;1;1
881;25;1;1
895;25;1;2
190;25;1;3
311;11;2;0
921;11;2;1
392;11;2;1
49;11;2;1
758;11;2;1
550;11;2;1
603;16;2;0
1121;16;2;1
1158;16;2;1
138;16;2;1
150;16;2;1
675;16;2;1
973;16;2;2
278;7;2;0
170;7;2;1
575;7;2;1
688;7;2;1
961;7;2;1
330;7;2;1
968;7;2;3
900;32;2;0
598;32;2;1
923;32;2;1
967;32;2;1
622;32;2;1
595;32;2;1
1004;32;2;3
959;32;2;3
1142;38;2;0
770;38;2;1
271;38;2;1
217;38;2;1
868;38;2;1
1146;38;2;1
377;38;2;3
1152;41;2;0
