COPY zmiany FROM STDIN DELIMITER ';' NULL 'null';
0;217;134;20
0;138;254;17
0;224;171;11
0;98;222;11
0;228;7;6
0;160;129;9
0;155;48;18
0;272;8;14
0;240;159;9
0;99;227;18
0;59;11;11
0;65;208;21
0;78;246;20
0;44;185;10
0;139;289;10
0;128;102;19
0;286;49;6
0;233;87;17
0;173;164;8
0;285;84;4
0;182;299;2
0;53;70;7
0;214;143;19
0;69;107;12
0;55;64;7
0;121;190;6
0;114;31;22
0;201;93;7
1;72;247;1
1;74;295;3
1;279;51;23
1;183;42;12
1;127;37;21
1;63;73;21
1;253;164;20
1;52;293;13
1;168;46;3
1;89;77;1
1;34;133;18
1;296;171;3
1;227;233;13
1;272;129;23
1;131;41;6
1;38;44;22
2;197;219;18
2;235;49;13
2;75;205;4
2;107;163;12
3;198;47;13
3;146;24;10
3;232;243;8
3;67;55;7
3;72;26;16
3;289;118;20
4;192;9;16
4;120;71;13
4;293;230;6
4;287;112;2
4;181;130;4
4;150;43;15
4;294;157;7
4;299;235;3
4;31;127;10
4;284;163;2
4;267;59;9
4;196;30;17
4;164;73;1
4;295;67;23
4;72;76;8
4;265;50;1
4;297;91;16
4;282;190;18
4;98;218;10
4;138;254;22
5;71;205;17
5;2;188;6
5;160;80;6
5;263;95;5
5;241;180;1
5;211;75;12
5;114;251;4
5;223;15;19
5;119;27;10
5;105;111;21
5;148;181;7
5;78;86;23
5;267;240;13
5;269;140;12
5;132;298;4
5;268;68;12
5;108;6;21
5;32;121;13
6;2;256;22
6;109;184;5
6;237;122;23
6;180;167;7
6;281;31;1
6;274;199;21
6;246;178;19
6;64;242;15
6;141;73;5
6;299;292;11
6;95;251;14
6;30;84;7
6;37;200;12
6;163;48;16
6;176;160;23
6;40;129;7
6;295;193;11
7;118;153;7
7;136;173;17
7;105;50;18
7;108;48;21
7;72;109;15
7;270;178;13
7;262;27;15
7;170;226;1
7;127;255;23
7;194;267;7
7;43;142;22
7;131;30;5
7;1;110;20
7;39;248;13
7;246;249;11
7;182;83;14
7;93;75;4
7;273;146;23
7;259;21;4
8;92;105;6
8;298;229;10
8;131;217;21
8;9;69;20
8;3;141;17
8;147;36;16
8;162;247;13
8;221;20;12
8;47;18;7
8;228;137;2
8;212;284;4
8;90;100;19
8;49;218;21
8;167;260;10
9;232;36;7
9;31;141;10
9;34;60;21
9;190;71;19
9;104;236;10
9;65;280;23
9;28;264;3
9;210;8;21
9;193;258;14
9;72;196;20
9;100;251;11
9;10;285;10
9;131;35;4
9;265;67;1
9;51;171;7
9;261;182;16
9;295;123;21
9;132;143;1
10;146;121;4
10;42;226;7
10;134;109;13
10;209;102;21
10;82;290;11
10;159;52;10
10;124;38;19
10;50;105;3
10;258;232;10
10;72;78;2
11;213;110;9
11;137;244;8
11;141;298;9
11;169;272;13
11;130;24;6
11;291;233;2
11;105;214;22
11;131;246;8
11;56;234;10
11;221;289;15
11;260;243;2
11;292;135;13
11;81;225;18
12;171;151;14
12;288;255;9
12;243;204;9
12;113;190;22
12;240;203;3
12;68;106;15
12;195;158;22
12;44;52;10
12;29;64;4
12;173;278;12
12;284;119;9
12;225;32;10
12;88;175;8
12;138;82;9
12;57;287;2
12;161;121;18
12;148;229;13
13;126;200;19
13;88;29;21
13;61;35;17
13;185;119;15
13;280;201;22
13;15;253;6
13;77;236;8
13;231;109;3
13;131;128;17
13;56;177;21
13;188;256;6
13;205;73;16
13;149;107;19
13;45;183;15
13;92;150;6
13;226;189;10
13;243;74;4
13;125;121;14
13;199;70;6
13;158;193;8
14;239;228;15
14;94;198;3
14;293;234;23
14;177;245;14
14;288;280;11
14;138;78;18
14;240;129;11
14;299;179;13
14;252;238;4
14;292;98;23
14;274;232;7
14;214;246;17
14;156;191;17
14;41;270;1
14;97;24;3
15;221;165;6
15;183;241;6
15;295;171;20
15;103;30;10
15;109;68;15
15;71;220;23
15;6;172;15
15;201;72;5
15;158;243;2
15;84;274;18
16;120;196;14
16;188;96;10
16;133;34;5
16;48;278;8
16;191;247;12
16;225;115;2
16;198;241;14
16;65;222;12
16;148;173;1
16;269;146;6
16;28;221;13
16;224;62;2
16;218;78;23
16;127;119;7
17;227;222;6
17;162;26;21
17;32;218;9
17;68;2;17
18;192;46;21
18;136;31;9
18;245;160;3
18;236;191;22
18;155;12;10
18;222;231;13
19;25;37;13
19;288;100;7
19;233;105;22
19;255;169;4
19;132;103;12
19;176;134;5
19;13;263;3
19;271;133;23
19;76;22;17
19;215;195;10
\.
