COPY sklady_w_zespolach FROM STDIN DELIMITER ';' NULL 'null';
98;17;0;0
253;17;0;1
255;17;0;1
13;17;0;1
93;17;0;1
5;17;0;1
163;5;0;0
208;5;0;1
49;5;0;1
171;5;0;1
273;5;0;1
260;5;0;1
105;5;0;2
222;11;0;0
108;11;0;1
114;11;0;1
227;11;0;1
235;11;0;1
224;11;0;1
196;11;0;3
107;16;0;0
18;16;0;1
37;16;0;1
299;16;0;1
187;16;0;1
233;16;0;1
191;16;0;3
234;15;0;0
167;15;0;1
252;15;0;1
144;15;0;1
136;15;0;1
62;15;0;1
141;15;0;3
251;15;0;3
129;3;0;0
248;3;0;1
57;3;0;1
63;3;0;1
173;3;0;1
280;3;0;1
184;3;0;2
179;3;0;3
213;3;0;3
44;13;0;0
78;13;0;1
47;13;0;1
6;13;0;1
247;13;0;1
64;13;0;1
81;13;0;2
202;13;0;3
156;13;0;3
41;9;0;0
68;9;0;1
169;9;0;1
240;9;0;1
99;9;0;1
135;9;0;1
40;9;0;2
0;8;0;0
159;8;0;1
38;8;0;1
151;8;0;1
185;8;0;1
158;8;0;1
67;8;0;2
238;18;0;0
243;18;0;1
192;18;0;1
246;18;0;1
29;18;0;1
46;18;0;1
145;18;0;3
276;18;0;3
249;0;0;0
42;0;0;1
193;0;0;1
21;0;0;1
75;0;0;1
188;0;0;1
264;0;0;2
83;0;0;3
90;0;0;3
292;12;0;0
279;12;0;1
294;12;0;1
34;12;0;1
212;12;0;1
119;12;0;1
113;12;0;2
140;12;0;3
226;12;0;3
86;14;0;0
118;14;0;1
274;14;0;1
237;14;0;1
228;14;0;1
256;14;0;1
130;14;0;2
287;10;0;0
89;10;0;1
85;10;0;1
271;10;0;1
220;10;0;1
242;10;0;1
117;10;0;2
221;10;0;3
153;10;0;3
137;7;0;0
293;7;0;1
115;7;0;1
33;7;0;1
296;7;0;1
69;7;0;1
262;7;0;3
189;15;1;0
296;15;1;1
91;15;1;1
45;15;1;1
229;15;1;1
256;15;1;1
119;15;1;3
35;15;1;3
259;1;1;0
95;1;1;1
2;1;1;1
128;1;1;1
140;1;1;1
217;1;1;1
181;1;1;2
287;1;1;3
78;6;1;0
44;6;1;1
37;6;1;1
40;6;1;1
148;6;1;1
104;6;1;1
269;6;1;2
194;6;1;3
234;6;1;3
86;13;1;0
280;13;1;1
247;13;1;1
232;13;1;1
147;13;1;1
164;13;1;1
105;13;1;3
254;16;1;0
62;16;1;1
65;16;1;1
295;16;1;1
143;16;1;1
272;16;1;1
100;16;1;3
258;16;1;3
