COPY zmiany FROM STDIN DELIMITER ';' NULL 'null';
0;114;196;14
0;187;191;4
0;167;141;9
0;62;251;5
0;248;179;18
0;173;213;9
0;6;202;17
0;247;156;11
0;192;145;3
0;46;276;17
0;193;83;23
0;75;90;19
0;279;140;3
0;212;226;22
0;220;221;3
0;271;16;13
0;85;153;19
0;69;262;11
1;91;119;22
1;296;35;10
1;95;287;5
1;104;194;7
1;40;234;10
1;164;105;11
1;143;100;16
1;62;258;11
1;131;283;3
1;17;88;14
1;171;3;21
1;110;72;17
2;52;39;9
2;269;65;1
2;116;164;17
2;278;292;21
2;251;123;15
2;236;253;1
2;120;84;3
2;242;53;21
2;45;264;2
2;265;119;13
2;173;287;13
2;169;266;23
2;244;108;1
2;70;170;17
2;114;15;7
2;42;196;17
2;213;97;21
2;36;241;13
2;126;3;7
2;175;146;15
3;288;216;16
3;58;230;5
3;234;42;1
3;227;189;2
3;183;202;23
3;175;208;18
3;120;22;16
3;46;178;23
3;198;168;3
3;228;56;2
3;157;114;13
3;96;202;3
3;223;134;5
3;263;41;6
3;106;113;8
3;10;194;13
3;6;237;3
3;116;200;5
3;181;186;22
3;167;293;11
3;45;192;17
3;77;239;14
3;111;40;10
3;24;80;11
3;276;81;8
4;272;131;18
4;87;242;8
4;155;215;3
4;291;147;20
4;174;24;20
4;195;204;18
4;135;119;23
4;32;36;4
4;244;56;2
4;185;252;15
4;227;267;19
4;42;260;19
4;137;254;9
4;210;263;13
4;246;238;12
4;7;208;21
4;54;251;9
4;139;279;5
4;47;275;15
4;34;154;18
4;199;110;18
5;147;255;4
5;277;162;16
5;261;114;3
5;231;97;22
5;296;124;17
5;219;158;23
5;93;280;17
5;198;81;22
5;235;202;15
5;253;129;7
5;247;264;23
5;289;266;5
5;143;214;6
5;104;118;10
6;103;217;11
6;125;227;10
6;152;285;14
6;250;206;1
6;277;168;23
6;105;286;21
6;282;139;23
6;193;27;10
6;273;210;18
6;12;287;6
6;135;197;16
7;56;206;14
7;273;159;20
7;188;236;4
7;286;267;15
7;2;87;10
7;43;261;21
7;281;274;16
7;223;195;15
7;36;147;5
7;118;104;20
7;186;152;14
7;275;72;9
7;285;9;15
7;111;248;9
7;132;160;2
7;244;247;3
7;215;52;15
7;117;78;1
7;296;106;7
7;178;146;5
8;134;0;3
8;252;173;14
8;91;52;1
8;61;248;5
8;138;201;4
8;46;66;22
8;143;237;16
8;72;114;11
8;291;122;12
8;191;73;13
8;214;28;20
8;65;116;20
8;80;21;15
8;271;32;13
8;111;294;6
8;236;119;9
8;204;135;23
8;78;255;18
8;9;240;13
9;116;36;14
9;38;121;17
9;196;107;13
10;121;234;2
10;251;95;10
10;15;277;7
10;232;75;15
10;205;202;12
10;42;80;6
10;218;185;4
10;243;3;21
10;269;282;15
10;252;162;2
10;216;289;19
10;18;231;19
10;147;67;4
10;137;71;8
10;178;203;2
10;223;120;22
10;106;298;3
10;72;60;9
10;262;122;10
10;161;45;14
10;241;245;9
10;209;11;19
10;43;283;13
10;70;62;12
10;125;198;23
11;129;179;23
11;259;241;1
11;32;77;10
11;56;19;21
11;35;164;10
11;28;115;17
11;233;231;9
11;109;46;12
12;4;294;17
12;282;130;23
12;219;55;14
12;276;233;20
12;172;142;14
12;48;290;14
12;71;33;15
12;28;119;8
12;292;173;7
12;283;21;7
12;70;43;11
12;210;113;8
12;243;196;17
12;207;193;15
12;256;274;21
12;159;198;23
12;49;121;9
13;131;250;18
13;48;36;15
13;245;87;12
13;256;234;7
13;5;94;15
13;126;207;13
13;295;74;1
13;61;180;20
13;202;80;16
13;136;20;5
13;7;298;22
13;266;147;19
14;129;28;2
14;232;40;19
14;152;23;12
14;278;125;16
14;59;25;1
14;181;57;21
14;147;65;8
14;36;30;12
14;20;166;21
14;281;146;9
14;237;33;18
14;176;61;12
14;294;70;8
15;138;252;14
15;127;93;6
15;45;238;9
15;50;290;11
15;30;232;16
15;289;6;10
15;191;29;23
15;124;184;3
15;68;12;5
15;253;73;6
16;120;83;22
16;15;113;6
16;75;148;16
16;262;219;9
16;293;211;3
16;230;157;18
16;214;281;8
17;49;258;2
17;179;86;15
17;237;84;22
17;131;42;12
17;253;67;12
17;155;195;3
17;120;242;13
17;150;18;22
17;72;38;23
17;268;170;19
17;266;220;14
17;63;99;18
17;246;118;16
17;101;74;9
17;210;270;22
17;112;59;8
17;199;103;13
18;99;297;8
18;38;14;6
18;199;244;12
18;170;282;15
18;237;45;9
18;298;192;20
18;215;277;15
18;156;281;8
18;35;60;14
18;112;47;3
18;158;107;17
19;64;29;18
19;178;215;5
19;199;265;16
19;123;171;8
19;196;90;14
19;52;281;19
19;142;103;6
19;146;55;9
19;50;226;20
19;94;89;3
19;159;271;21
19;180;22;18
19;289;59;12
19;299;169;10
19;161;53;12
19;76;266;9
\.
